"ILS","2024-12-16 18:31:11","2024-12-16 18:31:11","₪","₪","Israeli New Sheqel",2,0,"Israeli new sheqels","fiat","{IL,PS}"
"IMP","2024-12-16 18:31:11","2024-12-16 18:31:11","£","£","Manx pound",2,0,"Manx pounds","fiat","{}"
"INR","2024-12-16 18:31:11","2024-12-16 18:31:11","Rs","টকা","Indian Rupee",2,0,"Indian rupees","fiat","{BT,IN}"
"IQD","2024-12-16 18:31:11","2024-12-16 18:31:11","IQD","د.ع.‏","Iraqi Dinar",0,0,"Iraqi dinars","fiat","{IQ}"
"IRR","2024-12-16 18:31:11","2024-12-16 18:31:11","IRR","﷼","Iranian Rial",0,0,"Iranian rials","fiat","{IR}"
"ISK","2024-12-16 18:31:11","2024-12-16 18:31:11","Ikr","kr","Icelandic Króna",0,0,"Icelandic krónur","fiat","{IS}"
"JEP","2024-12-16 18:31:11","2024-12-16 18:31:11","£","£","Jersey pound",2,0,"Jersey pound","fiat","{}"
"JMD","2024-12-16 18:31:11","2024-12-16 18:31:11","J$","$","Jamaican Dollar",2,0,"Jamaican dollars","fiat","{JM}"
"JOD","2024-12-16 18:31:11","2024-12-16 18:31:11","JD","د.أ.‏","Jordanian Dinar",3,0,"Jordanian dinars","fiat","{JO,PS}"
"JPY","2024-12-16 18:31:11","2024-12-16 18:31:11","¥","￥","Japanese Yen",0,0,"Japanese yen","fiat","{JP}"
"KES","2024-12-16 18:31:11","2024-12-16 18:31:11","Ksh","Ksh","Kenyan Shilling",2,0,"Kenyan shillings","fiat","{KE}"
"KGS","2024-12-16 18:31:11","2024-12-16 18:31:11","KGS","KGS","Kyrgystani Som",2,0,"Kyrgystani Som","fiat","{KG}"
"KHR","2024-12-16 18:31:11","2024-12-16 18:31:11","KHR","៛","Cambodian Riel",2,0,"Cambodian riels","fiat","{KH}"
"KMF","2024-12-16 18:31:11","2024-12-16 18:31:11","CF","FC","Comorian Franc",0,0,"Comorian francs","fiat","{KM}"
"KPW","2024-12-16 18:31:11","2024-12-16 18:31:11","₩","₩","North Korean Won",2,0,"North Korean Won","fiat","{KP}"
"KRW","2024-12-16 18:31:11","2024-12-16 18:31:11","₩","₩","South Korean Won",0,0,"South Korean won","fiat","{KR}"
"KWD","2024-12-16 18:31:11","2024-12-16 18:31:11","KD","د.ك.‏","Kuwaiti Dinar",3,0,"Kuwaiti dinars","fiat","{KW}"
"KYD","2024-12-16 18:31:11","2024-12-16 18:31:11","CI$","$‏","Cayman Islands Dollar",2,0,"Cayman Islands Dollar","fiat","{KY}"
"KZT","2024-12-16 18:31:11","2024-12-16 18:31:11","KZT","тңг.","Kazakhstani Tenge",2,0,"Kazakhstani tenges","fiat","{KZ}"
"LAK","2024-12-16 18:31:11","2024-12-16 18:31:11","₭N","₭‏‏","Laotian Kip",0,0,"Laotian Kip","fiat","{LA}"
"LBP","2024-12-16 18:31:11","2024-12-16 18:31:11","LB£","ل.ل.‏","Lebanese Pound",0,0,"Lebanese pounds","fiat","{LB}"
"LKR","2024-12-16 18:31:11","2024-12-16 18:31:11","SLRs","SL Re","Sri Lankan Rupee",2,0,"Sri Lankan rupees","fiat","{LK}"
"LRD","2024-12-16 18:31:11","2024-12-16 18:31:11","LD$","L$","Liberian Dollar",2,0,"Liberian Dollar","fiat","{LR}"
"LSL","2024-12-16 18:31:11","2024-12-16 18:31:11","L","M","Lesotho Loti",2,0,"Lesotho Loti","fiat","{LS}"
"LTL","2024-12-16 18:31:11","2024-12-16 18:31:11","Lt","Lt","Lithuanian Litas",2,0,"Lithuanian litai","fiat","{}"
"LVL","2024-12-16 18:31:11","2024-12-16 18:31:11","Ls","Ls","Latvian Lats",2,0,"Latvian lati","fiat","{}"
"LYD","2024-12-16 18:31:11","2024-12-16 18:31:11","LD","د.ل.‏","Libyan Dinar",3,0,"Libyan dinars","fiat","{LY}"
"MAD","2024-12-16 18:31:11","2024-12-16 18:31:11","MAD","د.م.‏","Moroccan Dirham",2,0,"Moroccan dirhams","fiat","{EH,MA}"
"MDL","2024-12-16 18:31:11","2024-12-16 18:31:11","MDL","MDL","Moldovan Leu",2,0,"Moldovan lei","fiat","{MD}"
"MGA","2024-12-16 18:31:11","2024-12-16 18:31:11","MGA","MGA","Malagasy Ariary",0,0,"Malagasy Ariaries","fiat","{MG}"
"MKD","2024-12-16 18:31:11","2024-12-16 18:31:11","MKD","MKD","Macedonian Denar",2,0,"Macedonian denari","fiat","{MK}"
"MMK","2024-12-16 18:31:11","2024-12-16 18:31:11","MMK","K","Myanma Kyat",0,0,"Myanma kyats","fiat","{MM}"
"MNT","2024-12-16 18:31:11","2024-12-16 18:31:11","₮","₮","Mongolian Tugrik",2,0,"Mongolian Tugrik","fiat","{MN}"
"MOP","2024-12-16 18:31:11","2024-12-16 18:31:11","MOP$","MOP$","Macanese Pataca",2,0,"Macanese patacas","fiat","{MO}"
"MRO","2024-12-16 18:31:11","2024-12-16 18:31:11","UM","UM","Mauritanian ouguiya",2,0,"Mauritanian ouguiyas","fiat","{MR}"
"MUR","2024-12-16 18:31:11","2024-12-16 18:31:11","MURs","MURs","Mauritian Rupee",0,0,"Mauritian rupees","fiat","{MU}"
"MVR","2024-12-16 18:31:11","2024-12-16 18:31:11","MRf","Rf","Maldivian Rufiyaa",2,0,"Maldivian Rufiyaa","fiat","{MV}"
"MWK","2024-12-16 18:31:11","2024-12-16 18:31:11","MK","MK","Malawian Kwacha",2,0,"Malawian Kwacha","fiat","{MW}"
"MXN","2024-12-16 18:31:11","2024-12-16 18:31:11","MX$","$","Mexican Peso",2,0,"Mexican pesos","fiat","{MX}"
